marker,chrom,pos
SNP_285,1,285
SNP_286,1,286
SNP_287,1,287
SNP_288,1,288
SNP_289,1,289
SNP_290,1,290
SNP_291,1,291
SNP_292,1,292
SNP_293,1,293
SNP_294,1,294
SNP_295,1,295
SNP_296,1,296
SNP_297,1,297
SNP_298,1,298
SNP_299,1,299
SNP_300,1,300
SNP_301,1,301
SNP_302,1,302
SNP_303,1,303
SNP_304,1,304
SNP_305,1,305
SNP_306,1,306
SNP_307,1,307
SNP_308,1,308
SNP_309,1,309
SNP_310,1,310
SNP_311,1,311
SNP_312,1,312
SNP_313,1,313
SNP_314,1,314
SNP_315,1,315
SNP_316,1,316
SNP_317,1,317
SNP_318,1,318
SNP_319,1,319
SNP_320,1,320
SNP_321,1,321
SNP_322,1,322
SNP_323,1,323
SNP_324,1,324
SNP_325,1,325
SNP_326,1,326
SNP_327,1,327
SNP_328,1,328
SNP_329,1,329
SNP_330,1,330
SNP_331,1,331
SNP_332,1,332
SNP_333,1,333
SNP_334,1,334
SNP_335,1,335
SNP_336,1,336
SNP_337,1,337
SNP_338,1,338
SNP_339,1,339
SNP_340,1,340
SNP_341,1,341
SNP_342,1,342
SNP_343,1,343
SNP_344,1,344
SNP_345,1,345
SNP_346,1,346
SNP_347,1,347
SNP_348,1,348
SNP_349,1,349
SNP_350,1,350
SNP_351,2,351
SNP_352,2,352
SNP_353,2,353
SNP_354,2,354
SNP_355,2,355
SNP_356,2,356
SNP_357,2,357
SNP_358,2,358
SNP_359,2,359
SNP_360,2,360
SNP_361,2,361
SNP_362,2,362
SNP_363,2,363
SNP_364,2,364
SNP_365,2,365
SNP_366,2,366
SNP_367,2,367
SNP_368,2,368
SNP_369,2,369
SNP_370,2,370
SNP_371,2,371
SNP_372,2,372
SNP_373,2,373
SNP_374,2,374
SNP_375,2,375
SNP_376,2,376
SNP_377,2,377
SNP_378,2,378
SNP_379,2,379
SNP_380,2,380
SNP_381,2,381
SNP_382,2,382
SNP_383,2,383
SNP_384,2,384
SNP_385,2,385
SNP_386,2,386
SNP_387,2,387
SNP_388,2,388
SNP_389,2,389
SNP_390,2,390
SNP_391,2,391
SNP_392,2,392
SNP_393,2,393
SNP_394,2,394
SNP_395,2,395
SNP_396,2,396
SNP_397,2,397
SNP_398,2,398
SNP_399,2,399
SNP_400,2,400
SNP_401,2,401
SNP_402,2,402
SNP_403,2,403
SNP_404,2,404
SNP_405,2,405
SNP_406,2,406
SNP_407,2,407
SNP_408,2,408
SNP_409,2,409
SNP_410,2,410
SNP_411,2,411
SNP_412,2,412
SNP_413,2,413
SNP_414,2,414
SNP_415,2,415
SNP_416,2,416
SNP_417,2,417
SNP_418,2,418
SNP_419,2,419
SNP_420,2,420
SNP_421,2,421
SNP_422,2,422
SNP_423,2,423
SNP_424,2,424
SNP_425,2,425
SNP_426,2,426
SNP_427,2,427
SNP_428,2,428
SNP_429,2,429
SNP_430,2,430
SNP_431,2,431
SNP_432,2,432
SNP_433,2,433
SNP_434,2,434
SNP_435,2,435
SNP_436,2,436
SNP_437,2,437
SNP_438,2,438
SNP_439,2,439
SNP_440,2,440
SNP_441,2,441
SNP_442,2,442
SNP_443,2,443
SNP_444,2,444
SNP_445,2,445
SNP_446,2,446
SNP_447,2,447
SNP_448,2,448
SNP_449,2,449
SNP_450,2,450
SNP_451,2,451
SNP_452,2,452
SNP_453,2,453
SNP_454,2,454
SNP_455,2,455
SNP_456,2,456
SNP_457,2,457
SNP_458,2,458
SNP_459,2,459
SNP_460,2,460
SNP_461,2,461
SNP_462,2,462
SNP_463,2,463
SNP_464,2,464
SNP_465,2,465
SNP_466,2,466
SNP_467,2,467
SNP_468,2,468
SNP_469,2,469
SNP_470,2,470
SNP_471,2,471
SNP_472,2,472
SNP_473,2,473
SNP_474,2,474
SNP_475,2,475
SNP_476,2,476
SNP_477,2,477
SNP_478,2,478
SNP_479,2,479
SNP_480,2,480
SNP_481,2,481
SNP_482,2,482
SNP_483,2,483
SNP_484,2,484
SNP_485,2,485
SNP_486,2,486
SNP_487,2,487
SNP_488,2,488
SNP_489,2,489
SNP_490,2,490
SNP_491,2,491
SNP_492,2,492
SNP_493,2,493
SNP_494,2,494
SNP_495,2,495
SNP_496,2,496
SNP_497,2,497
SNP_498,2,498
SNP_499,2,499
SNP_500,2,500
SNP_501,2,501
SNP_502,2,502
SNP_503,2,503
SNP_504,2,504
SNP_505,2,505
SNP_506,2,506
SNP_507,2,507
SNP_508,2,508
SNP_509,2,509
SNP_510,2,510
SNP_511,2,511
SNP_512,2,512
SNP_513,2,513
SNP_514,2,514
SNP_515,2,515
SNP_516,2,516
SNP_517,2,517
SNP_518,2,518
SNP_519,2,519
SNP_520,2,520
SNP_521,2,521
SNP_522,2,522
SNP_523,2,523
SNP_524,2,524
SNP_525,2,525
SNP_526,2,526
SNP_527,2,527
SNP_528,2,528
SNP_529,2,529
SNP_530,2,530
SNP_531,2,531
SNP_532,2,532
SNP_533,2,533
SNP_534,2,534
SNP_535,2,535
SNP_536,2,536
SNP_537,2,537
SNP_538,2,538
SNP_539,2,539
SNP_540,2,540
SNP_541,2,541
SNP_542,2,542
SNP_543,2,543
SNP_544,2,544
SNP_545,2,545
SNP_546,2,546
SNP_547,2,547
SNP_548,2,548
SNP_549,2,549
SNP_550,2,550
SNP_551,2,551
SNP_552,2,552
SNP_553,2,553
SNP_554,2,554
SNP_555,2,555
SNP_556,2,556
SNP_557,2,557
SNP_558,2,558
SNP_559,2,559
SNP_560,2,560
SNP_561,2,561
SNP_562,2,562
SNP_563,2,563
SNP_564,2,564
SNP_565,2,565
SNP_566,2,566
SNP_567,2,567
SNP_568,2,568
SNP_569,2,569
SNP_570,2,570
SNP_571,2,571
SNP_572,2,572
SNP_573,2,573
SNP_574,2,574
SNP_575,2,575
SNP_576,2,576
SNP_577,2,577
SNP_578,2,578
SNP_579,2,579
SNP_580,2,580
SNP_581,2,581
SNP_582,2,582
SNP_583,2,583
SNP_584,2,584
SNP_585,2,585
SNP_586,2,586
SNP_587,2,587
SNP_588,2,588
SNP_589,2,589
SNP_590,2,590
SNP_591,2,591
SNP_592,2,592
SNP_593,2,593
SNP_594,2,594
SNP_595,2,595
SNP_596,2,596
SNP_597,2,597
SNP_598,2,598
SNP_599,2,599
SNP_600,2,600
SNP_601,2,601
SNP_602,2,602
SNP_603,2,603
SNP_604,2,604
SNP_605,2,605
SNP_606,2,606
SNP_607,2,607
SNP_608,2,608
SNP_609,2,609
SNP_610,2,610
SNP_611,2,611
SNP_612,2,612
SNP_613,2,613
SNP_614,2,614
SNP_615,2,615
SNP_616,2,616
SNP_617,2,617
SNP_618,2,618
SNP_619,2,619
SNP_620,2,620
SNP_621,2,621
SNP_622,2,622
SNP_623,2,623
SNP_624,2,624
SNP_625,2,625
SNP_626,2,626
SNP_627,2,627
SNP_628,2,628
SNP_629,2,629
SNP_630,2,630
SNP_631,2,631
SNP_632,2,632
SNP_633,2,633
SNP_634,2,634
SNP_635,2,635
SNP_636,2,636
SNP_637,2,637
SNP_638,2,638
SNP_639,2,639
SNP_640,2,640
SNP_641,2,641
SNP_642,2,642
SNP_643,2,643
SNP_644,2,644
SNP_645,2,645
SNP_646,2,646
SNP_647,2,647
SNP_648,2,648
SNP_649,2,649
SNP_650,2,650
SNP_651,2,651
SNP_652,2,652
SNP_653,2,653
SNP_654,2,654
SNP_655,2,655
SNP_656,2,656
SNP_657,2,657
SNP_658,2,658
SNP_659,2,659
SNP_660,2,660
SNP_661,2,661
SNP_662,2,662
SNP_663,2,663
SNP_664,2,664
SNP_665,2,665
SNP_666,2,666
SNP_667,2,667
SNP_668,2,668
SNP_669,2,669
SNP_670,2,670
SNP_671,2,671
SNP_672,2,672
SNP_673,2,673
SNP_674,2,674
SNP_675,2,675
SNP_676,2,676
SNP_677,2,677
SNP_678,2,678
SNP_679,2,679
SNP_680,2,680
SNP_681,2,681
SNP_682,2,682
SNP_683,2,683
SNP_684,2,684
SNP_685,2,685
SNP_686,2,686
SNP_687,2,687
SNP_688,2,688
SNP_689,2,689
SNP_690,2,690
SNP_691,2,691
SNP_692,2,692
SNP_693,2,693
SNP_694,2,694
SNP_695,2,695
SNP_696,2,696
SNP_697,2,697
SNP_698,2,698
SNP_699,2,699
SNP_700,2,700
SNP_701,3,701
SNP_702,3,702
SNP_703,3,703
SNP_704,3,704
SNP_705,3,705
SNP_706,3,706
SNP_707,3,707
SNP_708,3,708
SNP_709,3,709
SNP_710,3,710
SNP_711,3,711
SNP_712,3,712
SNP_713,3,713
SNP_714,3,714
SNP_715,3,715
SNP_716,3,716
SNP_717,3,717
SNP_718,3,718
SNP_719,3,719
SNP_720,3,720
SNP_721,3,721
SNP_722,3,722
SNP_723,3,723
SNP_724,3,724
SNP_725,3,725
SNP_726,3,726
SNP_727,3,727
SNP_728,3,728
SNP_729,3,729
SNP_730,3,730
SNP_731,3,731
SNP_732,3,732
SNP_733,3,733
SNP_734,3,734
SNP_735,3,735
SNP_736,3,736
SNP_737,3,737
SNP_738,3,738
SNP_739,3,739
SNP_740,3,740
SNP_741,3,741
SNP_742,3,742
SNP_743,3,743
SNP_744,3,744
SNP_745,3,745
SNP_746,3,746
SNP_747,3,747
SNP_748,3,748
SNP_749,3,749
SNP_750,3,750
SNP_751,3,751
SNP_752,3,752
SNP_753,3,753
SNP_754,3,754
SNP_755,3,755
SNP_756,3,756
SNP_757,3,757
SNP_758,3,758
SNP_759,3,759
SNP_760,3,760
SNP_761,3,761
SNP_762,3,762
SNP_763,3,763
SNP_764,3,764
SNP_765,3,765
SNP_766,3,766
SNP_767,3,767
SNP_768,3,768
SNP_769,3,769
SNP_770,3,770
SNP_771,3,771
SNP_772,3,772
SNP_773,3,773
SNP_774,3,774
SNP_775,3,775
SNP_776,3,776
SNP_777,3,777
SNP_778,3,778
SNP_779,3,779
SNP_780,3,780
SNP_781,3,781
SNP_782,3,782
SNP_783,3,783
SNP_784,3,784
SNP_785,3,785
SNP_786,3,786
SNP_787,3,787
SNP_788,3,788
SNP_789,3,789
SNP_790,3,790
SNP_791,3,791
SNP_792,3,792
SNP_793,3,793
SNP_794,3,794
SNP_795,3,795
SNP_796,3,796
SNP_797,3,797
SNP_798,3,798
SNP_799,3,799
SNP_800,3,800
SNP_801,3,801
SNP_802,3,802
SNP_803,3,803
SNP_804,3,804
SNP_805,3,805
SNP_806,3,806
SNP_807,3,807
SNP_808,3,808
SNP_809,3,809
SNP_810,3,810
SNP_811,3,811
SNP_812,3,812
SNP_813,3,813
SNP_814,3,814
SNP_815,3,815
SNP_816,3,816
SNP_817,3,817
SNP_818,3,818
SNP_819,3,819
SNP_820,3,820
SNP_821,3,821
SNP_822,3,822
SNP_823,3,823
SNP_824,3,824
SNP_825,3,825
SNP_826,3,826
SNP_827,3,827
SNP_828,3,828
SNP_829,3,829
SNP_830,3,830
SNP_831,3,831
SNP_832,3,832
SNP_833,3,833
SNP_834,3,834
SNP_835,3,835
SNP_836,3,836
SNP_837,3,837
SNP_838,3,838
SNP_839,3,839
SNP_840,3,840
SNP_841,3,841
SNP_842,3,842
SNP_843,3,843
SNP_844,3,844
SNP_845,3,845
SNP_846,3,846
SNP_847,3,847
SNP_848,3,848
SNP_849,3,849
SNP_850,3,850
SNP_851,3,851
SNP_852,3,852
SNP_853,3,853
SNP_854,3,854
SNP_855,3,855
SNP_856,3,856
SNP_857,3,857
SNP_858,3,858
SNP_859,3,859
SNP_860,3,860
SNP_861,3,861
SNP_862,3,862
SNP_863,3,863
SNP_864,3,864
SNP_865,3,865
SNP_866,3,866
SNP_867,3,867
SNP_868,3,868
SNP_869,3,869
SNP_870,3,870
SNP_871,3,871
SNP_872,3,872
SNP_873,3,873
SNP_874,3,874
SNP_875,3,875
SNP_876,3,876
SNP_877,3,877
SNP_878,3,878
SNP_879,3,879
SNP_880,3,880
SNP_881,3,881
SNP_882,3,882
SNP_883,3,883
SNP_884,3,884
SNP_885,3,885
SNP_886,3,886
SNP_887,3,887
SNP_888,3,888
SNP_889,3,889
SNP_890,3,890
SNP_891,3,891
SNP_892,3,892
SNP_893,3,893
SNP_894,3,894
SNP_895,3,895
SNP_896,3,896
SNP_897,3,897
SNP_898,3,898
SNP_899,3,899
SNP_900,3,900
SNP_901,3,901
SNP_902,3,902
SNP_903,3,903
SNP_904,3,904
SNP_905,3,905
SNP_906,3,906
SNP_907,3,907
SNP_908,3,908
SNP_909,3,909
SNP_910,3,910
SNP_911,3,911
SNP_912,3,912
SNP_913,3,913
SNP_914,3,914
SNP_915,3,915
SNP_916,3,916
SNP_917,3,917
SNP_918,3,918
SNP_919,3,919
SNP_920,3,920
SNP_921,3,921
SNP_922,3,922
SNP_923,3,923
SNP_924,3,924
SNP_925,3,925
SNP_926,3,926
SNP_927,3,927
SNP_928,3,928
SNP_929,3,929
SNP_930,3,930
SNP_931,3,931
SNP_932,3,932
SNP_933,3,933
SNP_934,3,934
SNP_935,3,935
SNP_936,3,936
SNP_937,3,937
SNP_938,3,938
SNP_939,3,939
SNP_940,3,940
SNP_941,3,941
SNP_942,3,942
SNP_943,3,943
SNP_944,3,944
SNP_945,3,945
SNP_946,3,946
SNP_947,3,947
SNP_948,3,948
SNP_949,3,949
SNP_950,3,950
SNP_951,3,951
SNP_952,3,952
SNP_953,3,953
SNP_954,3,954
SNP_955,3,955
SNP_956,3,956
SNP_957,3,957
SNP_958,3,958
SNP_959,3,959
SNP_960,3,960
SNP_961,3,961
SNP_962,3,962
SNP_963,3,963
SNP_964,3,964
SNP_965,3,965
SNP_966,3,966
SNP_967,3,967
SNP_968,3,968
SNP_969,3,969
SNP_970,3,970
SNP_971,3,971
SNP_972,3,972
SNP_973,3,973
SNP_974,3,974
SNP_975,3,975
SNP_976,3,976
SNP_977,3,977
SNP_978,3,978
SNP_979,3,979
SNP_980,3,980
SNP_981,3,981
SNP_982,3,982
SNP_983,3,983
SNP_984,3,984
SNP_985,3,985
SNP_986,3,986
SNP_987,3,987
SNP_988,3,988
SNP_989,3,989
SNP_990,3,990
SNP_991,3,991
SNP_992,3,992
SNP_993,3,993
SNP_994,3,994
SNP_995,3,995
SNP_996,3,996
SNP_997,3,997
SNP_998,3,998
SNP_999,3,999
SNP_1000,3,1000
SNP_1001,3,1001
SNP_1002,3,1002
SNP_1003,3,1003
SNP_1004,3,1004
SNP_1005,3,1005
SNP_1006,3,1006
SNP_1007,3,1007
SNP_1008,3,1008
SNP_1009,3,1009
SNP_1010,3,1010
SNP_1011,3,1011
SNP_1012,3,1012
SNP_1013,3,1013
SNP_1014,3,1014
SNP_1015,3,1015
SNP_1016,3,1016
SNP_1017,3,1017
SNP_1018,3,1018
SNP_1019,3,1019
SNP_1020,3,1020
SNP_1021,3,1021
SNP_1022,3,1022
SNP_1023,3,1023
SNP_1024,3,1024
SNP_1025,3,1025
SNP_1026,3,1026
SNP_1027,3,1027
SNP_1028,3,1028
SNP_1029,3,1029
SNP_1030,3,1030
SNP_1031,3,1031
SNP_1032,3,1032
SNP_1033,3,1033
SNP_1034,3,1034
SNP_1035,3,1035
SNP_1036,3,1036
SNP_1037,3,1037
SNP_1038,3,1038
SNP_1039,3,1039
SNP_1040,3,1040
SNP_1041,3,1041
SNP_1042,3,1042
SNP_1043,3,1043
SNP_1044,3,1044
SNP_1045,3,1045
SNP_1046,3,1046
SNP_1047,3,1047
SNP_1048,3,1048
SNP_1049,3,1049
SNP_1050,3,1050
SNP_1051,4,1051
SNP_1052,4,1052
SNP_1053,4,1053
SNP_1054,4,1054
SNP_1055,4,1055
SNP_1056,4,1056
SNP_1057,4,1057
SNP_1058,4,1058
SNP_1059,4,1059
SNP_1060,4,1060
SNP_1061,4,1061
SNP_1062,4,1062
SNP_1063,4,1063
SNP_1064,4,1064
SNP_1065,4,1065
SNP_1066,4,1066
SNP_1067,4,1067
SNP_1068,4,1068
SNP_1069,4,1069
SNP_1070,4,1070
SNP_1071,4,1071
SNP_1072,4,1072
SNP_1073,4,1073
SNP_1074,4,1074
SNP_1075,4,1075
SNP_1076,4,1076
SNP_1077,4,1077
SNP_1078,4,1078
SNP_1079,4,1079
SNP_1080,4,1080
SNP_1081,4,1081
SNP_1082,4,1082
SNP_1083,4,1083
SNP_1084,4,1084
SNP_1085,4,1085
SNP_1086,4,1086
SNP_1087,4,1087
SNP_1088,4,1088
SNP_1089,4,1089
SNP_1090,4,1090
SNP_1091,4,1091
SNP_1092,4,1092
SNP_1093,4,1093
SNP_1094,4,1094
SNP_1095,4,1095
SNP_1096,4,1096
SNP_1097,4,1097
SNP_1098,4,1098
SNP_1099,4,1099
SNP_1100,4,1100
SNP_1101,4,1101
SNP_1102,4,1102
SNP_1103,4,1103
SNP_1104,4,1104
SNP_1105,4,1105
SNP_1106,4,1106
SNP_1107,4,1107
SNP_1108,4,1108
SNP_1109,4,1109
SNP_1110,4,1110
SNP_1111,4,1111
SNP_1112,4,1112
SNP_1113,4,1113
SNP_1114,4,1114
SNP_1115,4,1115
SNP_1116,4,1116
SNP_1117,4,1117
SNP_1118,4,1118
SNP_1119,4,1119
SNP_1120,4,1120
SNP_1121,4,1121
SNP_1122,4,1122
SNP_1123,4,1123
SNP_1124,4,1124
SNP_1125,4,1125
SNP_1126,4,1126
SNP_1127,4,1127
SNP_1128,4,1128
SNP_1129,4,1129
SNP_1130,4,1130
SNP_1131,4,1131
SNP_1132,4,1132
SNP_1133,4,1133
SNP_1134,4,1134
SNP_1135,4,1135
SNP_1136,4,1136
SNP_1137,4,1137
SNP_1138,4,1138
SNP_1139,4,1139
SNP_1140,4,1140
SNP_1141,4,1141
SNP_1142,4,1142
SNP_1143,4,1143
SNP_1144,4,1144
SNP_1145,4,1145
SNP_1146,4,1146
SNP_1147,4,1147
SNP_1148,4,1148
SNP_1149,4,1149
SNP_1150,4,1150
SNP_1151,4,1151
SNP_1152,4,1152
SNP_1153,4,1153
SNP_1154,4,1154
SNP_1155,4,1155
SNP_1156,4,1156
SNP_1157,4,1157
SNP_1158,4,1158
SNP_1159,4,1159
SNP_1160,4,1160
SNP_1161,4,1161
SNP_1162,4,1162
SNP_1163,4,1163
SNP_1164,4,1164
SNP_1165,4,1165
SNP_1166,4,1166
SNP_1167,4,1167
SNP_1168,4,1168
SNP_1169,4,1169
SNP_1170,4,1170
SNP_1171,4,1171
SNP_1172,4,1172
SNP_1173,4,1173
SNP_1174,4,1174
SNP_1175,4,1175
SNP_1176,4,1176
SNP_1177,4,1177
SNP_1178,4,1178
SNP_1179,4,1179
SNP_1180,4,1180
SNP_1181,4,1181
SNP_1182,4,1182
SNP_1183,4,1183
SNP_1184,4,1184
SNP_1185,4,1185
SNP_1186,4,1186
SNP_1187,4,1187
SNP_1188,4,1188
SNP_1189,4,1189
SNP_1190,4,1190
SNP_1191,4,1191
SNP_1192,4,1192
SNP_1193,4,1193
SNP_1194,4,1194
SNP_1195,4,1195
SNP_1196,4,1196
SNP_1197,4,1197
SNP_1198,4,1198
SNP_1199,4,1199
SNP_1200,4,1200
SNP_1201,4,1201
SNP_1202,4,1202
SNP_1203,4,1203
SNP_1204,4,1204
SNP_1205,4,1205
SNP_1206,4,1206
SNP_1207,4,1207
SNP_1208,4,1208
SNP_1209,4,1209
SNP_1210,4,1210
SNP_1211,4,1211
SNP_1212,4,1212
SNP_1213,4,1213
SNP_1214,4,1214
SNP_1215,4,1215
SNP_1216,4,1216
SNP_1217,4,1217
SNP_1218,4,1218
SNP_1219,4,1219
SNP_1220,4,1220
SNP_1221,4,1221
SNP_1222,4,1222
SNP_1223,4,1223
SNP_1224,4,1224
SNP_1225,4,1225
SNP_1226,4,1226
SNP_1227,4,1227
SNP_1228,4,1228
SNP_1229,4,1229
SNP_1230,4,1230
SNP_1231,4,1231
SNP_1232,4,1232
SNP_1233,4,1233
SNP_1234,4,1234
SNP_1235,4,1235
SNP_1236,4,1236
SNP_1237,4,1237
SNP_1238,4,1238
SNP_1239,4,1239
SNP_1240,4,1240
SNP_1241,4,1241
SNP_1242,4,1242
SNP_1243,4,1243
SNP_1244,4,1244
SNP_1245,4,1245
SNP_1246,4,1246
SNP_1247,4,1247
SNP_1248,4,1248
SNP_1249,4,1249
SNP_1250,4,1250
SNP_1251,4,1251
SNP_1252,4,1252
SNP_1253,4,1253
SNP_1254,4,1254
SNP_1255,4,1255
SNP_1256,4,1256
SNP_1257,4,1257
SNP_1258,4,1258
SNP_1259,4,1259
SNP_1260,4,1260
SNP_1261,4,1261
SNP_1262,4,1262
SNP_1263,4,1263
SNP_1264,4,1264
SNP_1265,4,1265
SNP_1266,4,1266
SNP_1267,4,1267
SNP_1268,4,1268
SNP_1269,4,1269
SNP_1270,4,1270
SNP_1271,4,1271
SNP_1272,4,1272
SNP_1273,4,1273
SNP_1274,4,1274
SNP_1275,4,1275
SNP_1276,4,1276
SNP_1277,4,1277
SNP_1278,4,1278
SNP_1279,4,1279
SNP_1280,4,1280
SNP_1281,4,1281
SNP_1282,4,1282
SNP_1283,4,1283
SNP_1284,4,1284
SNP_1285,4,1285
SNP_1286,4,1286
SNP_1287,4,1287
SNP_1288,4,1288
SNP_1289,4,1289
SNP_1290,4,1290
SNP_1291,4,1291
SNP_1292,4,1292
SNP_1293,4,1293
SNP_1294,4,1294
SNP_1295,4,1295
SNP_1296,4,1296
SNP_1297,4,1297
SNP_1298,4,1298
SNP_1299,4,1299
SNP_1300,4,1300
SNP_1301,4,1301
SNP_1302,4,1302
SNP_1303,4,1303
SNP_1304,4,1304
SNP_1305,4,1305
SNP_1306,4,1306
SNP_1307,4,1307
SNP_1308,4,1308
SNP_1309,4,1309
SNP_1310,4,1310
SNP_1311,4,1311
SNP_1312,4,1312
SNP_1313,4,1313
SNP_1314,4,1314
SNP_1315,4,1315
SNP_1316,4,1316
SNP_1317,4,1317
SNP_1318,4,1318
SNP_1319,4,1319
SNP_1320,4,1320
SNP_1321,4,1321
SNP_1322,4,1322
SNP_1323,4,1323
SNP_1324,4,1324
SNP_1325,4,1325
SNP_1326,4,1326
SNP_1327,4,1327
SNP_1328,4,1328
SNP_1329,4,1329
SNP_1330,4,1330
SNP_1331,4,1331
